feature,importance,kind,family
mfcc_08_mean,0.0,impurity/gain,mfcc
mfcc_06_mean,0.0,impurity/gain,mfcc
mfcc_06_std,0.0,impurity/gain,mfcc
mfcc_06_min,0.0,impurity/gain,mfcc
mfcc_06_max,0.0,impurity/gain,mfcc
mfcc_06_median,0.0,impurity/gain,mfcc
mfcc_06_iqr,0.0,impurity/gain,mfcc
mfcc_06_kurt,0.0,impurity/gain,mfcc
mfcc_07_mean,0.0,impurity/gain,mfcc
spectral_band_4000_5000_std,0.0,impurity/gain,spectral
mfcc_07_min,0.0,impurity/gain,mfcc
mfcc_07_max,0.0,impurity/gain,mfcc
mfcc_07_median,0.0,impurity/gain,mfcc
mfcc_07_skew,0.0,impurity/gain,mfcc
mfcc_07_kurt,0.0,impurity/gain,mfcc
mfcc_08_median,0.0,impurity/gain,mfcc
mfcc_d2_06_mean,0.0,impurity/gain,mfcc
mfcc_08_iqr,0.0,impurity/gain,mfcc
mfcc_08_skew,0.0,impurity/gain,mfcc
mfcc_09_min,0.0,impurity/gain,mfcc
spectral_band_1000_2000_std,0.0,impurity/gain,spectral
mfcc_09_skew,0.0,impurity/gain,mfcc
spectral_slope_kurt,0.0,impurity/gain,spectral
mfcc_10_min,0.0,impurity/gain,mfcc
mfcc_10_max,0.0,impurity/gain,mfcc
spectral_slope_max,0.0,impurity/gain,spectral
mfcc_10_skew,0.0,impurity/gain,mfcc
mfcc_11_mean,0.0,impurity/gain,mfcc
spectral_slope_std,0.0,impurity/gain,spectral
mfcc_11_max,0.0,impurity/gain,mfcc
mfcc_11_median,0.0,impurity/gain,mfcc
mfcc_05_kurt,0.0,impurity/gain,mfcc
mfcc_05_skew,0.0,impurity/gain,mfcc
mfcc_05_iqr,0.0,impurity/gain,mfcc
mfcc_05_median,0.0,impurity/gain,mfcc
spectral_contrast_6_mean,0.0,impurity/gain,spectral
spectral_contrast_4_std,0.0,impurity/gain,spectral
spectral_contrast_4_mean,0.0,impurity/gain,spectral
mfcc_00_min,0.0,impurity/gain,mfcc
mfcc_00_median,0.0,impurity/gain,mfcc
spectral_contrast_3_std,0.0,impurity/gain,spectral
mfcc_00_kurt,0.0,impurity/gain,mfcc
mfcc_01_mean,0.0,impurity/gain,mfcc
