model,train_condition,test_condition,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,log_loss,top2_accuracy
mlp_sklearn,mp4_aac64,ref,0.5646341463414634,0.5631944444444444,0.5606071556799179,0.5609867193539393,0.4769137302551639,1.562403587072578,0.7682926829268293
mlp_sklearn,mp4_aac64,mp3_64,0.32865853658536587,0.3208333333333333,0.2094991696930567,0.21460890553922884,0.19044117647058822,5.833725586972176,0.4719512195121951
mlp_sklearn,mp4_aac64,mp4_aac64,0.5676829268292682,0.5693452380952381,0.5650024046330591,0.563885915889627,0.48110529979829,1.5496081297862225,0.7737804878048781
mlp_sklearn,mp4_aac64,roundtrip_wav,0.5682926829268292,0.5701388888888889,0.5658800179042839,0.5645297138295118,0.4818186686659883,1.5489381735631558,0.776829268292683
xgboost,mp4_aac64,ref,0.5713414634146341,0.5712301587301587,0.5665307001092639,0.5664985297010119,0.4852943802567904,1.3258271217346191,0.7835365853658537
xgboost,mp4_aac64,mp3_64,0.5689024390243902,0.5688492063492063,0.5666000624228971,0.5665115125315908,0.48234726860367527,1.294076919555664,0.7810975609756098
xgboost,mp4_aac64,mp4_aac64,0.5762195121951219,0.5775793650793651,0.569759584533876,0.5691176614402498,0.49143316080671073,1.325118899345398,0.7902439024390244
xgboost,mp4_aac64,roundtrip_wav,0.5719512195121951,0.5734126984126985,0.5653540181579079,0.5646330932988888,0.48632007281683365,1.3247255086898804,0.7932926829268293
lightgbm,mp4_aac64,ref,0.574390243902439,0.5746031746031747,0.5692286256862186,0.569343564628998,0.48911025421308196,1.8739184879091415,0.7847560975609756
lightgbm,mp4_aac64,mp3_64,0.5689024390243902,0.5692460317460318,0.5661119063144814,0.5660106170591246,0.48247665637106996,1.7963276244499662,0.7878048780487805
lightgbm,mp4_aac64,mp4_aac64,0.5804878048780487,0.5824404761904762,0.5738072136692814,0.5730007986610289,0.4966811790735851,1.9005591350798452,0.7902439024390244
lightgbm,mp4_aac64,roundtrip_wav,0.5756097560975609,0.5776785714285715,0.568567012062377,0.567604485704527,0.4908195492746641,1.9030496475754446,0.7926829268292683
