condition,model,note,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,per_class_f1,log_loss,top2_accuracy
mp3_64,random_forest,ensemble of entropy trees,0.5164634146341464,0.5188492063492064,0.4992980269216068,0.49834964176891877,0.4201355448546461,"{'ANG': 0.677710843373494, 'DIS': 0.35402298850574715, 'FEA': 0.3973509933774834, 'HAP': 0.4288354898336414, 'NEU': 0.5381818181818182, 'SAD': 0.5996860282574569}",1.2728721462462567,0.7365853658536585
mp3_64,lightgbm,boosted ensemble,0.5817073170731707,0.5831349206349207,0.5757127008290063,0.5753079449392822,0.4981084939329051,"{'ANG': 0.7427652733118971, 'DIS': 0.4798387096774194, 'FEA': 0.5385996409335727, 'HAP': 0.50390625, 'NEU': 0.5923076923076923, 'SAD': 0.5968586387434555}",1.8948400859794508,0.7859756097560976
mp3_64,logistic_regression,"linear, inspectable coefficients",0.5621951219512196,0.562797619047619,0.5581249966277296,0.5575269568357432,0.47435897435897434,"{'ANG': 0.7221297836938436, 'DIS': 0.42535787321063395, 'FEA': 0.53, 'HAP': 0.5415162454873647, 'NEU': 0.5826446280991735, 'SAD': 0.5471014492753623}",1.3873940232133073,0.7817073170731708
mp3_64,lda,linear with covariance shrinkage,0.5853658536585366,0.5860119047619047,0.5807975447979875,0.5807356962971254,0.5023561330858204,"{'ANG': 0.7653061224489796, 'DIS': 0.43711340206185567, 'FEA': 0.5457570715474209, 'HAP': 0.5518518518518518, 'NEU': 0.5833333333333334, 'SAD': 0.6014234875444839}",1.2559579830366618,0.7945121951219513
mp3_64,svm_rbf,kernel machine,0.5884146341463414,0.5887896825396824,0.5835815483219736,0.5826367666574723,0.505679991426428,"{'ANG': 0.75, 'DIS': 0.4816326530612245, 'FEA': 0.5615141955835962, 'HAP': 0.5217391304347826, 'NEU': 0.6223175965665236, 'SAD': 0.5642857142857143}",1.105341235083364,0.7920731707317074
mp3_64,mlp_sklearn,shallow network,0.5652439024390243,0.5655753968253968,0.5610332261584678,0.5605614564823084,0.47797282094323124,"{'ANG': 0.7382113821138211, 'DIS': 0.4765625, 'FEA': 0.5354330708661418, 'HAP': 0.5172413793103449, 'NEU': 0.5803757828810021, 'SAD': 0.5183752417794971}",2.1596089200337727,0.7792682926829269
mp4_aac64,decision_tree_entropy,readable model; Shannon-entropy splitting,0.39634146341463417,0.3982142857142858,0.39183882199410897,0.39137609055955525,0.2761480160499331,"{'ANG': 0.5793103448275863, 'DIS': 0.2874015748031496, 'FEA': 0.3146067415730337, 'HAP': 0.30245746691871456, 'NEU': 0.41081081081081083, 'SAD': 0.4564459930313589}",11.972151645753476,0.5817073170731707
mp4_aac64,decision_tree_readable,depth-3 tree printed in the paper,0.38170731707317074,0.38898809523809524,0.3093781808353551,0.30728473205479495,0.2622837370242215,"{'ANG': 0.6130030959752322, 'DIS': 0.0, 'FEA': 0.0, 'HAP': 0.29821717990275526, 'NEU': 0.39520958083832336, 'SAD': 0.5498392282958199}",1.5103344043189737,0.6091463414634146
mp4_aac64,random_forest,ensemble of entropy trees,0.5219512195121951,0.5243055555555555,0.5039832909665143,0.5028406445760397,0.42662456966518625,"{'ANG': 0.6786786786786787, 'DIS': 0.3456221198156682, 'FEA': 0.4, 'HAP': 0.45640074211502785, 'NEU': 0.5508317929759704, 'SAD': 0.5923664122137404}",1.2728610865791896,0.7414634146341463
mp4_aac64,lightgbm,boosted ensemble,0.5804878048780487,0.5824404761904762,0.5738072136692814,0.5730007986610289,0.4966811790735851,"{'ANG': 0.7334410339256866, 'DIS': 0.4256198347107438, 'FEA': 0.5451263537906137, 'HAP': 0.5328185328185329, 'NEU': 0.6068702290076335, 'SAD': 0.5989672977624785}",1.9005591350798452,0.7902439024390244
