pair,rho_used,p_used,rho_all,n_used,top25_overlap
bootstrap,-0.2575434218645419,6.005331531677808e-06,0.12018478116722224,301,7
bootstrap,-0.1899470345058688,0.0008558651031833705,0.1675455216606562,305,10
bootstrap,-0.1845320738677176,0.0013252217444867825,0.16369690506133483,300,7
bootstrap,-0.24161544107459176,1.548244670383254e-05,0.0889569948009203,313,8
bootstrap,-0.17762203109223978,0.001978508728048659,0.18443983536537215,301,8
bootstrap,-0.22311091159110016,6.658975567151142e-05,0.10263815911673951,314,11
bootstrap,-0.1550687098169056,0.006658234582971342,0.16100373021402292,305,9
bootstrap,-0.1710900935264611,0.0024268786599202495,0.13961655479463023,312,8
bootstrap,-0.15725755648137496,0.005598922656497414,0.16737021347258865,309,8
bootstrap,-0.23511093183580042,3.262719691211919e-05,0.14792172670087828,306,6
bootstrap,-0.18123203348023156,0.0013043958893428247,0.14685978517114476,312,7
bootstrap,-0.19171755117749065,0.0006368126983943505,0.10932218705475624,314,8
bootstrap,-0.18065059694715854,0.0015071174189383901,0.15889898592433796,306,9
bootstrap,-0.1331427210143503,0.022179192130933268,0.22513845045675213,295,8
bootstrap,-0.32495558450378575,4.175600635149863e-09,0.03175919523397737,312,6
bootstrap,-0.2605373953709877,2.877375554957957e-06,0.07841752192980743,314,6
bootstrap,-0.21653771873780064,0.00010439707805510152,0.08823990637945647,316,8
bootstrap,-0.23699063173501483,2.6424563246617224e-05,0.09837351811378071,308,7
bootstrap,-0.3009593212393689,5.93134270049386e-08,0.07046929165108129,312,6
bootstrap,-0.30258128357073016,5.24777829811063e-08,0.04553375196368948,311,7
bootstrap,-0.2449034901248353,1.2126330654634233e-05,0.09273954086031551,312,6
bootstrap,-0.18280289824003138,0.0012715353103037034,0.1469517736942817,308,8
bootstrap,-0.1688454224658601,0.0028163151363882334,0.1549560968987794,311,4
bootstrap,-0.10699269441507257,0.06648658180539209,0.23692574310980824,295,9
bootstrap,-0.1816258146166707,0.001343785943494808,0.14922387350603017,309,9
bootstrap,-0.18080571246613564,0.0012026114183067305,0.14303431476811881,318,7
