condition,path,depth,feature,family,threshold,entropy_bits,information_gain_bits,n_samples,w_samples
roundtrip_wav,LRL,3,spectral_band_0_500_mean,spectral,0.8280057609081268,2.346489506854558,0.07014762136181518,1662,1704.8881654397376
roundtrip_wav,LRLL,4,duration_s,other,2.8480000495910645,2.2798067357174467,0.06797252277958032,1203,1238.8841817234609
roundtrip_wav,LRLLL,5,mfcc_00_median,mfcc,-215.19634246826172,2.2489559128079937,0.06712010843686561,853,887.2658513597477
roundtrip_wav,LRLLR,5,mfcc_09_mean,mfcc,-1.1996102929115295,2.118162143551918,0.10732704611501531,350,351.61833036371866
roundtrip_wav,LRLR,4,prosody_f1_bw_median,prosody,281.4371643066406,2.2671304875530875,0.07443047251107138,459,466.00398371629797
roundtrip_wav,LRLRL,5,prosody_f0_skew,prosody,1.4812359809875488,2.20604729675519,0.14923630578372205,177,183.84077420783711
roundtrip_wav,LRLRR,5,mfcc_d2_06_std,mfcc,0.6726211905479431,2.1840037197028965,0.1206630460077584,282,282.1632095084606
roundtrip_wav,LRR,3,mfcc_02_std,mfcc,14.788133144378662,2.0710510318308715,0.15277108022642638,232,228.49713368815716
roundtrip_wav,LRRL,4,mfcc_13_kurt,mfcc,0.34893645346164703,1.5158158092016996,0.2505741105055995,66,64.88644091077596
roundtrip_wav,LRRR,4,spectral_band_5000_6000_std,spectral,0.031144236214458942,2.0778933934364776,0.1904195202674312,166,163.61069277738156
roundtrip_wav,LRRRL,5,mfcc_d1_14_std,mfcc,0.7586147487163544,1.876058788664975,0.20890604360792608,138,135.63076584307404
roundtrip_wav,R,1,mfcc_d1_00_std,mfcc,7.105791330337524,2.087859510327266,0.1554709925884845,1830,1795.910582602006
roundtrip_wav,RL,2,prosody_f0_median,prosody,161.09932708740234,2.2673294569288336,0.10472322339040052,874,860.1308259438413
roundtrip_wav,RLL,3,spectral_band_1000_2000_std,spectral,0.07654264941811562,2.360761168175347,0.1809971236744573,226,226.63209302370535
roundtrip_wav,RLLL,4,mfcc_00_iqr,mfcc,112.30496978759766,2.288165122342707,0.14615309178114033,170,172.0020214246603
roundtrip_wav,RLLLL,5,spectral_slope_median,spectral,-4.361047649581451e-05,2.246790689757599,0.1970665923684105,107,109.71207695725342
roundtrip_wav,RLLLR,5,mfcc_d2_14_std,mfcc,0.4540979564189911,1.9574640361865125,0.2500931405833823,63,62.28994446740715
