,shift_sd
mfcc_d2_01_std,0.036945087138872054
mfcc_d1_01_mean,0.036419266066518914
mfcc_d2_15_std,0.03640874081443904
mfcc_d2_04_mean,0.03633967037493856
mfcc_10_iqr,0.0354544101785846
spectral_centroid_max,0.035431043108336745
mfcc_d2_08_std,0.035233741529949354
spectral_rolloff95_std,0.035221644285701244
mfcc_d2_00_mean,0.03500018616180757
spectral_bandwidth_min,0.03474406177308437
mfcc_14_skew,0.034227983099523136
mfcc_09_kurt,0.0336680044204909
spectral_contrast_3_mean,0.03337392349805475
mfcc_09_std,0.03334470840762231
spectral_bandwidth_std,0.032933480718208126
mfcc_d1_09_std,0.03252101779530571
prosody_f5_std,0.03231975889909186
spectral_centroid_skew,0.03217809787910714
mfcc_06_iqr,0.032050198110052906
mfcc_11_skew,0.031063819492150334
mfcc_06_std,0.031043357420039636
mfcc_09_skew,0.030786407511607224
mfcc_d2_10_std,0.030276269690295926
mfcc_14_kurt,0.03011567153733828
mfcc_12_iqr,0.02936144506378793
mfcc_d1_03_mean,0.02852084938143546
chroma_10_mean,0.026615763287669205
spectral_band_5000_6000_std,0.026390054576018934
mfcc_07_std,0.025882617706657802
mfcc_d1_00_mean,0.025239967008706336
mfcc_d1_06_std,0.02517168443518736
mfcc_08_std,0.024872500564840288
mfcc_10_std,0.024000451923786272
mfcc_13_skew,0.02399693629085244
mfcc_12_skew,0.02371366157476374
spectral_centroid_std,0.02348907080473229
prosody_f5_mean,0.022721060014609138
mfcc_07_skew,0.02234142874135158
spectral_rolloff85_std,0.022230135082018328
mfcc_d1_13_std,0.021937830953529323
mfcc_d2_00_std,0.021633109208989566
mfcc_11_kurt,0.021633028632236043
mfcc_19_skew,0.021631325044696517
mfcc_07_iqr,0.02160546895446542
spectral_band_5000_6000_mean,0.02142145254795025
mfcc_09_iqr,0.021189190305442893
mfcc_10_kurt,0.019943564005973427
mfcc_d2_02_std,0.01872462524039585
mfcc_d1_01_std,0.018658513989111322
mfcc_18_skew,0.018414198917553033
mfcc_d1_05_mean,0.01824646642686654
mfcc_d1_16_mean,0.018021183486899062
spectral_hf_ratio_4000_std,0.017745732999346918
mfcc_00_skew,0.01768035635592659
mfcc_d2_12_std,0.017622630960180713
mfcc_14_iqr,0.017441720136581157
mfcc_d1_15_std,0.017402649791717305
mfcc_d1_08_std,0.0171737938581891
spectral_centroid_mean,0.01716980788427715
mfcc_d1_07_mean,0.017145472718726733
mfcc_d1_18_mean,0.017135712717395234
mfcc_17_skew,0.017082271623408914
spectral_band_4000_5000_std,0.01698558744405619
spectral_slope_kurt,0.01689070454350231
mfcc_19_kurt,0.01645568556326162
mfcc_d1_02_std,0.016395301028438485
prosody_f5_median,0.016361737295823287
mfcc_16_kurt,0.016315005647887963
mfcc_16_iqr,0.0162863258716385
mfcc_15_skew,0.01598781190692763
mfcc_08_skew,0.015871991800259676
spectral_entropy_mean,0.01585661655637181
spectral_hf_ratio_4000_mean,0.015846989450927895
spectral_band_4000_5000_mean,0.015736599169151395
spectral_rolloff95_mean,0.015626218342420915
prosody_f3_mean,0.015623341505545436
mfcc_12_std,0.01557497502078788
mfcc_d1_10_std,0.01543744895316537
prosody_f4_mean,0.015373436490793608
