model,condition,n_neutralised,uar_compressed,uar_clean_control,recovery,gap_to_clean
logistic_regression,mp4_aac64,10,0.4992063492063492,0.5445436507936509,0.026984126984126944,-0.04533730158730165
logistic_regression,mp4_aac64,20,0.4915674603174603,0.5339285714285714,0.019345238095238027,-0.04236111111111113
logistic_regression,mp4_aac64,40,0.4484126984126984,0.46309523809523806,-0.02380952380952389,-0.014682539682539686
logistic_regression,mp4_aac64,80,0.35664682539682535,0.3527777777777778,-0.11557539682539691,0.00386904761904755
svm_rbf,mp4_aac64,0,0.4988095238095238,0.5856150793650794,0.0,-0.08680555555555558
svm_rbf,mp4_aac64,1,0.5193452380952381,0.582936507936508,0.020535714285714324,-0.06359126984126984
svm_rbf,mp4_aac64,2,0.5278769841269841,0.5882936507936508,0.029067460317460325,-0.060416666666666674
svm_rbf,mp4_aac64,3,0.5283730158730159,0.5874007936507937,0.02956349206349207,-0.05902777777777779
svm_rbf,mp4_aac64,5,0.5074404761904762,0.5854166666666666,0.00863095238095235,-0.07797619047619042
svm_rbf,mp4_aac64,10,0.5363095238095238,0.5788690476190476,0.03749999999999998,-0.04255952380952377
svm_rbf,mp4_aac64,20,0.5356150793650793,0.5702380952380952,0.036805555555555536,-0.03462301587301586
svm_rbf,mp4_aac64,40,0.5422619047619047,0.5475198412698412,0.04345238095238091,-0.005257936507936489
svm_rbf,mp4_aac64,80,0.5124007936507936,0.5134920634920636,0.013591269841269793,-0.0010912698412699484
mlp_sklearn,mp4_aac64,0,0.4913690476190476,0.5742063492063493,0.0,-0.08283730158730168
mlp_sklearn,mp4_aac64,1,0.49533730158730155,0.570734126984127,0.003968253968253954,-0.0753968253968254
mlp_sklearn,mp4_aac64,2,0.5143849206349206,0.5702380952380953,0.02301587301587299,-0.05585317460317474
mlp_sklearn,mp4_aac64,3,0.5083333333333333,0.573313492063492,0.01696428571428571,-0.06498015873015872
mlp_sklearn,mp4_aac64,5,0.485515873015873,0.5613095238095239,-0.005853174603174582,-0.07579365079365091
mlp_sklearn,mp4_aac64,10,0.51875,0.5575396825396824,0.02738095238095245,-0.0387896825396824
mlp_sklearn,mp4_aac64,20,0.5094246031746031,0.5449404761904763,0.018055555555555547,-0.03551587301587311
mlp_sklearn,mp4_aac64,40,0.5189484126984126,0.525297619047619,0.027579365079365037,-0.006349206349206327
mlp_sklearn,mp4_aac64,80,0.47202380952380957,0.47291666666666665,-0.019345238095238027,-0.0008928571428570842
ann_pytorch,mp4_aac64,0,0.5125992063492063,0.5993055555555555,0.0,-0.08670634920634923
ann_pytorch,mp4_aac64,1,0.5152777777777778,0.5982142857142857,0.00267857142857153,-0.08293650793650786
ann_pytorch,mp4_aac64,2,0.5233134920634921,0.596924603174603,0.010714285714285787,-0.07361111111111096
ann_pytorch,mp4_aac64,3,0.5304563492063492,0.5976190476190476,0.017857142857142905,-0.0671626984126984
ann_pytorch,mp4_aac64,5,0.510813492063492,0.6,-0.0017857142857142794,-0.08918650793650795
ann_pytorch,mp4_aac64,10,0.5596230158730159,0.5955357142857143,0.04702380952380958,-0.035912698412698396
ann_pytorch,mp4_aac64,20,0.553968253968254,0.5897817460317459,0.041369047619047694,-0.035813492063491936
ann_pytorch,mp4_aac64,40,0.5236111111111111,0.5344246031746032,0.011011904761904834,-0.010813492063492025
ann_pytorch,mp4_aac64,80,0.47281746031746036,0.4670634920634921,-0.039781746031745946,0.0057539682539682335
random_forest,roundtrip_wav,0,0.5217261904761905,0.5349206349206349,0.0,-0.013194444444444398
random_forest,roundtrip_wav,1,0.5216269841269842,0.5342261904761904,-9.920634920634885e-05,-0.012599206349206193
random_forest,roundtrip_wav,2,0.5186507936507936,0.5348214285714286,-0.0030753968253969255,-0.016170634920634974
random_forest,roundtrip_wav,3,0.5186507936507937,0.5354166666666665,-0.0030753968253968145,-0.016765873015872845
random_forest,roundtrip_wav,5,0.5163690476190477,0.5349206349206349,-0.005357142857142838,-0.018551587301587236
random_forest,roundtrip_wav,10,0.5213293650793651,0.5325396825396825,-0.0003968253968253954,-0.01121031746031742
random_forest,roundtrip_wav,20,0.5196428571428572,0.5311507936507937,-0.002083333333333326,-0.011507936507936467
random_forest,roundtrip_wav,40,0.5139880952380952,0.5178571428571429,-0.007738095238095322,-0.0038690476190477163
random_forest,roundtrip_wav,80,0.49047619047619045,0.48759920634920634,-0.031250000000000056,0.0028769841269841168
xgboost,roundtrip_wav,0,0.5601190476190476,0.5821428571428572,0.0,-0.022023809523809557
xgboost,roundtrip_wav,1,0.5568452380952381,0.5828373015873015,-0.003273809523809512,-0.0259920634920634
xgboost,roundtrip_wav,2,0.5564484126984127,0.5816468253968254,-0.0036706349206349076,-0.02519841269841272
xgboost,roundtrip_wav,3,0.5558531746031746,0.5800595238095239,-0.004265873015873001,-0.02420634920634923
xgboost,roundtrip_wav,5,0.5500992063492064,0.5815476190476191,-0.010019841269841234,-0.0314484126984127
xgboost,roundtrip_wav,10,0.5567460317460318,0.5803571428571429,-0.003373015873015861,-0.023611111111111138
xgboost,roundtrip_wav,20,0.547420634920635,0.5757936507936509,-0.012698412698412653,-0.028373015873015883
xgboost,roundtrip_wav,40,0.5305555555555556,0.530654761904762,-0.02956349206349207,-9.920634920645988e-05
xgboost,roundtrip_wav,80,0.47966269841269843,0.4912698412698413,-0.0804563492063492,-0.011607142857142871
decision_tree,roundtrip_wav,0,0.37093253968253975,0.3904761904761905,0.0,-0.019543650793650724
decision_tree,roundtrip_wav,1,0.37093253968253975,0.39107142857142857,0.0,-0.020138888888888817
decision_tree,roundtrip_wav,2,0.37093253968253975,0.39107142857142857,0.0,-0.020138888888888817
decision_tree,roundtrip_wav,3,0.37093253968253975,0.39107142857142857,0.0,-0.020138888888888817
decision_tree,roundtrip_wav,5,0.37093253968253975,0.39107142857142857,0.0,-0.020138888888888817
decision_tree,roundtrip_wav,10,0.37172619047619054,0.3949404761904762,0.0007936507936507908,-0.023214285714285632
decision_tree,roundtrip_wav,20,0.3723214285714285,0.39305555555555555,0.001388888888888773,-0.02073412698412702
decision_tree,roundtrip_wav,40,0.3193452380952381,0.3124007936507937,-0.051587301587301626,0.00694444444444442
decision_tree,roundtrip_wav,80,0.31795634920634924,0.3104166666666666,-0.05297619047619051,0.007539682539682624
logistic_regression,roundtrip_wav,0,0.4699404761904762,0.5668650793650793,0.0,-0.09692460317460316
logistic_regression,roundtrip_wav,1,0.4750992063492063,0.5641865079365079,0.00515873015873014,-0.0890873015873016
logistic_regression,roundtrip_wav,2,0.485515873015873,0.5678571428571428,0.015575396825396826,-0.08234126984126983
logistic_regression,roundtrip_wav,3,0.4852182539682539,0.569047619047619,0.015277777777777724,-0.08382936507936511
logistic_regression,roundtrip_wav,5,0.5020833333333333,0.5706349206349206,0.03214285714285714,-0.06855158730158728
logistic_regression,roundtrip_wav,10,0.48640873015873015,0.5498015873015872,0.016468253968253965,-0.06339285714285708
logistic_regression,roundtrip_wav,20,0.4920634920634921,0.5339285714285714,0.022123015873015905,-0.04186507936507933
logistic_regression,roundtrip_wav,40,0.4530753968253968,0.4601190476190476,-0.01686507936507936,-0.007043650793650769
logistic_regression,roundtrip_wav,80,0.3566468253968254,0.3527777777777778,-0.11329365079365078,0.0038690476190476053
svm_rbf,roundtrip_wav,0,0.49692460317460313,0.5856150793650794,0.0,-0.08869047619047626
svm_rbf,roundtrip_wav,1,0.5159722222222222,0.582936507936508,0.019047619047619035,-0.06696428571428581
svm_rbf,roundtrip_wav,2,0.5276785714285714,0.5882936507936508,0.03075396825396831,-0.06061507936507937
svm_rbf,roundtrip_wav,3,0.5325396825396825,0.5874007936507937,0.035615079365079405,-0.05486111111111114
svm_rbf,roundtrip_wav,5,0.5373015873015873,0.5882936507936508,0.04037698412698415,-0.05099206349206353
svm_rbf,roundtrip_wav,10,0.53125,0.5751984126984128,0.03432539682539687,-0.043948412698412764
svm_rbf,roundtrip_wav,20,0.5350198412698413,0.5702380952380952,0.038095238095238126,-0.035218253968253954
svm_rbf,roundtrip_wav,40,0.5342261904761904,0.5371031746031746,0.037301587301587225,-0.002876984126984228
svm_rbf,roundtrip_wav,80,0.5145833333333333,0.5134920634920636,0.01765873015873015,0.0010912698412697264
mlp_sklearn,roundtrip_wav,0,0.49414682539682536,0.5742063492063493,0.0,-0.08005952380952391
mlp_sklearn,roundtrip_wav,1,0.49216269841269833,0.570734126984127,-0.0019841269841270326,-0.07857142857142863
mlp_sklearn,roundtrip_wav,2,0.5057539682539682,0.5702380952380953,0.011607142857142871,-0.06448412698412709
mlp_sklearn,roundtrip_wav,3,0.5005952380952381,0.573313492063492,0.006448412698412731,-0.07271825396825393
mlp_sklearn,roundtrip_wav,5,0.5208333333333333,0.56875,0.026686507936507897,-0.04791666666666672
mlp_sklearn,roundtrip_wav,10,0.508531746031746,0.5629960317460317,0.01438492063492064,-0.05446428571428574
mlp_sklearn,roundtrip_wav,20,0.510515873015873,0.5449404761904763,0.016369047619047616,-0.034424603174603274
mlp_sklearn,roundtrip_wav,40,0.5098214285714285,0.5161706349206349,0.015674603174603174,-0.006349206349206327
mlp_sklearn,roundtrip_wav,80,0.4696428571428572,0.47291666666666665,-0.024503968253968167,-0.0032738095238094567
ann_pytorch,roundtrip_wav,0,0.5120039682539682,0.5993055555555555,0.0,-0.08730158730158732
ann_pytorch,roundtrip_wav,1,0.5151785714285714,0.5982142857142857,0.0031746031746031633,-0.08303571428571432
ann_pytorch,roundtrip_wav,2,0.5234126984126984,0.596924603174603,0.01140873015873023,-0.07351190476190461
ann_pytorch,roundtrip_wav,3,0.5253968253968254,0.5976190476190476,0.013392857142857206,-0.07222222222222219
ann_pytorch,roundtrip_wav,5,0.5498015873015872,0.6027777777777777,0.037797619047619024,-0.05297619047619051
ann_pytorch,roundtrip_wav,10,0.5496031746031746,0.5938492063492063,0.03759920634920644,-0.0442460317460317
ann_pytorch,roundtrip_wav,20,0.5532738095238096,0.5897817460317459,0.041269841269841345,-0.03650793650793638
ann_pytorch,roundtrip_wav,40,0.5229166666666666,0.5319444444444444,0.010912698412698374,-0.009027777777777857
ann_pytorch,roundtrip_wav,80,0.47519841269841273,0.4670634920634921,-0.03680555555555548,0.008134920634920606
