feature,importance,kind,family
spectral_flatness_min,0.18404571587141483,mean |coefficient|,spectral
mfcc_13_kurt,0.1824979224047587,mean |coefficient|,mfcc
spectral_rolloff85_mean,0.1823316251362845,mean |coefficient|,spectral
spectral_contrast_6_std,0.18227503608052087,mean |coefficient|,spectral
spectral_slope_max,0.1809163827475999,mean |coefficient|,spectral
spectral_rms_min,0.1805890014353048,mean |coefficient|,spectral
mfcc_14_skew,0.1792365806433329,mean |coefficient|,mfcc
mfcc_11_iqr,0.17862236820369407,mean |coefficient|,mfcc
spectral_entropy_max,0.17748150773074312,mean |coefficient|,spectral
spectral_zcr_kurt,0.17733629716426735,mean |coefficient|,spectral
mfcc_07_kurt,0.17709751386445005,mean |coefficient|,mfcc
mfcc_10_iqr,0.17701697595440605,mean |coefficient|,mfcc
mfcc_06_mean,0.17591974792527443,mean |coefficient|,mfcc
mfcc_d1_13_std,0.1754772165465569,mean |coefficient|,mfcc
spectral_centroid_median,0.1754536682162765,mean |coefficient|,spectral
prosody_f0_kurt,0.17467266278985805,mean |coefficient|,prosody
spectral_contrast_0_std,0.17446760790941662,mean |coefficient|,spectral
mfcc_16_iqr,0.17240447405140882,mean |coefficient|,mfcc
mfcc_16_median,0.17144574000866633,mean |coefficient|,mfcc
mfcc_17_kurt,0.17084281194002157,mean |coefficient|,mfcc
mfcc_11_max,0.17061277491631976,mean |coefficient|,mfcc
mfcc_d1_08_std,0.17034774761040727,mean |coefficient|,mfcc
prosody_hnr_std,0.17019573114091388,mean |coefficient|,prosody
mfcc_16_min,0.17012745545319619,mean |coefficient|,mfcc
mfcc_18_max,0.16936884597503685,mean |coefficient|,mfcc
mfcc_15_skew,0.1691448779773014,mean |coefficient|,mfcc
prosody_hnr_max,0.16863246415241803,mean |coefficient|,prosody
mfcc_19_median,0.1681622496471458,mean |coefficient|,mfcc
spectral_contrast_2_std,0.16552505710117943,mean |coefficient|,spectral
mfcc_13_iqr,0.16481715723572407,mean |coefficient|,mfcc
mfcc_06_kurt,0.16332561730086978,mean |coefficient|,mfcc
mfcc_12_iqr,0.16264101154321867,mean |coefficient|,mfcc
prosody_mean_voiced_seg_s,0.16260060188998268,mean |coefficient|,prosody
mfcc_15_iqr,0.16237430497084585,mean |coefficient|,mfcc
spectral_centroid_min,0.1614079916528983,mean |coefficient|,spectral
spectral_bandwidth_min,0.16084320234486602,mean |coefficient|,spectral
spectral_flux_min,0.16070767562239027,mean |coefficient|,spectral
chroma_09_std,0.15916990886769372,mean |coefficient|,chroma
mfcc_09_skew,0.15910349476482155,mean |coefficient|,mfcc
prosody_f5_std,0.15904332479855973,mean |coefficient|,prosody
mfcc_11_skew,0.15614787991942844,mean |coefficient|,mfcc
mfcc_03_max,0.15499508599054754,mean |coefficient|,mfcc
