,speaker_eta2,emotion_eta2,family
mfcc_14_mean,0.3927631226192682,0.015271931728980542,mfcc
mfcc_14_std,0.14942537096675212,0.15303654205008071,mfcc
mfcc_14_min,0.24970396302573308,0.11828152134738472,mfcc
mfcc_14_max,0.10367545141192346,0.04710502341199004,mfcc
mfcc_14_median,0.4619503380236717,0.014002869804564841,mfcc
mfcc_14_iqr,0.11438852557898696,0.11453384771857963,mfcc
mfcc_14_skew,0.11393472061975257,0.009106643466033456,mfcc
mfcc_14_kurt,0.05908436359577429,0.038955840482875294,mfcc
mfcc_15_mean,0.3762972229307942,0.019496144022549573,mfcc
mfcc_15_std,0.14471982638491918,0.14734423165257787,mfcc
mfcc_15_min,0.15851630377002146,0.13268022200909868,mfcc
mfcc_15_max,0.22401343138713614,0.05038697228420559,mfcc
mfcc_15_median,0.4198908601499473,0.028069810067752943,mfcc
mfcc_15_iqr,0.10250324195745403,0.10427139175484339,mfcc
mfcc_15_skew,0.1968764843995507,0.005172132854691222,mfcc
mfcc_15_kurt,0.06993818651545797,0.04735680040908174,mfcc
mfcc_16_mean,0.3943556437670741,0.009492722359261819,mfcc
mfcc_16_std,0.1677210400087436,0.1489270334009024,mfcc
mfcc_16_min,0.26296691211518175,0.10486437082533999,mfcc
mfcc_16_max,0.08889215920550435,0.07387189747931096,mfcc
mfcc_16_median,0.48510486813838655,0.012361762300202406,mfcc
mfcc_16_iqr,0.1315282925581903,0.10560349934623606,mfcc
mfcc_16_skew,0.08504712991042036,0.005314182211526217,mfcc
mfcc_16_kurt,0.0707813251937728,0.04977063114026147,mfcc
mfcc_17_mean,0.34379388941658195,0.007178152438717802,mfcc
mfcc_17_std,0.1667713781607761,0.15177826049989193,mfcc
mfcc_17_min,0.16123557234614516,0.11415277915870024,mfcc
mfcc_17_max,0.15274106631818565,0.08303755035901139,mfcc
mfcc_17_median,0.4560434765529171,0.017650350872892892,mfcc
mfcc_17_iqr,0.13290100658270404,0.1049872227400189,mfcc
mfcc_17_skew,0.0741434868280392,0.011990985640486729,mfcc
