feature,family,anova_F,anova_p,mutual_info
mfcc_16_min,mfcc,174.20077397775333,8.150277334650568e-176,0.06474177785644297
mfcc_15_iqr,mfcc,173.1010465806267,9.476456483254753e-175,0.09224708979926133
spectral_rolloff95_kurt,spectral,171.44396734689553,3.831780705326403e-173,0.08223524108124458
spectral_entropy_max,spectral,171.05432521624013,9.150289781573695e-173,0.07174381588185375
mfcc_11_iqr,mfcc,169.71604469397752,1.8217976681724678e-171,0.09511280821897738
mfcc_13_min,mfcc,169.10631023146198,7.123669842507404e-171,0.06763020481906468
mfcc_d2_13_std,mfcc,168.52698467561595,2.6035614963728782e-170,0.06518381877991253
mfcc_13_iqr,mfcc,164.98711219999768,7.227501966577631e-167,0.07979094107318208
mfcc_d2_11_std,mfcc,162.96992155730635,6.674183986862473e-165,0.05044972483536636
mfcc_12_iqr,mfcc,162.10497447118547,4.654265891625542e-164,0.07679371948659197
prosody_f5_mean,prosody,151.48286983769782,1.1502785547478538e-153,0.055873934463353425
mfcc_19_min,mfcc,147.41318766927765,1.1476405722520326e-149,0.054816078372535326
mfcc_18_max,mfcc,145.23487653395622,1.600279380810163e-147,0.06853900312026884
mfcc_d2_12_std,mfcc,144.8373561157627,3.942942946860455e-147,0.05058558929609891
spectral_entropy_median,spectral,144.77245091004508,4.5684798110463574e-147,0.05400287266617676
prosody_f4_mean,prosody,142.956554856988,2.8181283049059595e-145,0.04079237331043739
mfcc_08_min,mfcc,141.34548987716414,1.095996386285305e-143,0.05541869806526778
spectral_rms_std,spectral,141.16983272763025,1.6339676996666899e-143,0.06806005292971928
prosody_shimmer_apq5,prosody,140.60084711963893,5.958695579997857e-143,0.06612031896055104
spectral_bandwidth_mean,spectral,138.24091471901951,1.2815093164507256e-140,0.061646478521767634
chroma_05_mean,chroma,138.07352324565787,1.8762667436495702e-140,0.05845324660681506
spectral_contrast_6_std,spectral,136.98026458919972,2.265027063783986e-139,0.056476023102847606
mfcc_17_max,mfcc,134.65855382867142,4.515400051322275e-137,0.06599162825726923
spectral_bandwidth_iqr,spectral,134.64911240900878,4.613751450810202e-137,0.11379953970573231
mfcc_11_min,mfcc,134.3634930208185,8.854686601797594e-137,0.04493059770752428
spectral_rolloff85_skew,spectral,129.1834622024209,1.2304139334826622e-131,0.04474523987110146
mfcc_00_kurt,mfcc,128.9071102916029,2.3166359480777153e-131,0.1457568440438819
spectral_slope_min,spectral,126.70201263226942,3.6241864915665053e-129,0.04830189554323416
mfcc_d1_01_std,mfcc,124.67919099032511,3.755391652180753e-127,0.06640927921241246
prosody_shimmer_localdb,prosody,123.53362503434181,5.2131028798533817e-126,0.03627560423055609
mfcc_01_mean,mfcc,121.81254585551046,2.7221507857811637e-124,0.044249054497048856
duration_s,other,119.76160427963664,3.049369758177929e-122,0.02719064175682373
mfcc_16_max,mfcc,118.6094140246475,4.330600601215652e-121,0.04652152718611946
prosody_f1_bw_median,prosody,116.78621179211495,2.8944016615820295e-119,0.04308283410081781
spectral_rms_iqr,spectral,114.89497171023675,2.2735984586333185e-117,0.04042757919344009
mfcc_03_max,mfcc,114.3627218578989,7.770334896566026e-117,0.035223274260395954
mfcc_09_mean,mfcc,113.44960892568115,6.404246452995945e-116,0.03584180379398827
mfcc_06_min,mfcc,113.24106113985576,1.03693024870589e-115,0.04104044349647484
spectral_flatness_mean,spectral,108.43279617870198,7.0457563525855e-111,0.043986711451382554
mfcc_01_median,mfcc,105.9808997283951,2.075761911422835e-108,0.051768021256116015
mfcc_01_min,mfcc,105.73097259889704,3.7073968151774614e-108,0.03538727422003296
spectral_flatness_std,spectral,105.6778585584331,4.1937761269486274e-108,0.057090559859819034
spectral_rolloff85_kurt,spectral,105.18516117682489,1.3161222172948419e-107,0.04917924639858828
chroma_01_mean,chroma,104.92159979464803,2.4268983920374076e-107,0.03208363504744227
spectral_centroid_std,spectral,104.9044793611472,2.525317190514395e-107,0.0683720893709241
