condition,feature,family,mean_ref,mean_cond,smd,t,p,rel_change,abs_smd,significant
mp3_64,chroma_09_mean,chroma,0.6504645356764953,0.6500934161600378,-0.004153627490908585,-20.025645174674732,6.233357040070557e-87,-0.0005705453504418153,0.004153627490908585,True
mp3_64,chroma_09_std,chroma,0.30774498424678365,0.3076076772444232,-0.0033122813049386445,-11.201395427662954,6.828793902675467e-29,-0.0004461713736666876,0.0033122813049386445,True
mp3_64,chroma_10_mean,chroma,0.6185028755448,0.6156150610631349,-0.0346469655267313,-40.32309072373559,0.0,-0.004669039701911478,0.0346469655267313,True
mp3_64,chroma_10_std,chroma,0.28672147415387483,0.28749113386586117,0.018823161854839513,21.26799538013178,1.7154904923108304e-97,0.002684346243188201,0.018823161854839513,True
mp3_64,chroma_11_mean,chroma,0.6142018602682928,0.6134644829657138,-0.009024545166487687,-27.056685960981792,7.35469815798075e-154,-0.0012005455376787018,0.009024545166487687,True
mp3_64,chroma_11_std,chroma,0.29791585898597195,0.29837686595973867,0.012709624385750726,20.123898096234672,9.552709648159946e-88,0.0015474401911192903,0.012709624385750726,True
mp3_64,prosody_f0_mean,prosody,187.4541243570512,187.45168231735553,-3.978109324998797e-05,-0.12332087833700968,0.9018563396111376,-1.3027399125208097e-05,3.978109324998797e-05,False
mp3_64,prosody_f0_std,prosody,43.208174017995205,43.225128652854224,0.0008591639832118698,0.5833542254036064,0.5596725480188046,0.0003923941532904772,0.0008591639832118698,False
mp3_64,prosody_f0_min,prosody,104.99431399348764,104.95917920442379,-0.0008061413922037131,-0.4483808734480564,0.6538914001948114,-0.0003346351600147199,0.0008061413922037131,False
mp3_64,prosody_f0_max,prosody,288.0785945489409,288.1466991259105,0.0007623762995618962,0.45296482716383357,0.6505872776074952,0.00023640970991359452,0.0007623762995618962,False
mp3_64,prosody_f0_median,prosody,185.0003449634417,184.9798412056188,-0.0003101085581863654,-0.7502610652733205,0.4531212121040973,-0.00011083091670421328,0.0003101085581863654,False
mp3_64,prosody_f0_iqr,prosody,50.24593629289673,50.11558426106735,-0.0036240253676265966,-2.418468996259578,0.015609824258886124,-0.0025942800840554727,0.0036240253676265966,False
mp3_64,prosody_f0_skew,prosody,0.35886052526073586,0.35939558402644256,0.0003861720319090985,0.1688802519207892,0.8658954236649936,0.0014909936536428516,0.0003861720319090985,False
mp3_64,prosody_f0_kurt,prosody,1.8038465948140985,1.8182119320025432,0.003197812633626177,0.9738870563072396,0.33014428316301847,0.007963724426314173,0.003197812633626177,False
mp3_64,prosody_voiced_fraction,prosody,0.43792628163815633,0.4381759822884752,0.0020292406355490737,3.3996308094168963,0.0006783143768997968,0.0005701887755738599,0.0020292406355490737,False
mp3_64,prosody_f0_slope_abs_mean,prosody,799.2911479515574,799.0315859015384,-0.0006321856658865103,-0.3546960484050316,0.7228273647546818,-0.00032474030356046996,0.0006321856658865103,False
mp3_64,prosody_n_voiced_segments,prosody,8.426689961026744,8.430856067732831,0.0009452953396485726,0.7728085489979745,0.43966024299949297,0.0004943942076135877,0.0009452953396485726,False
mp3_64,prosody_voiced_rate_per_s,prosody,3.292588153486145,3.2944516717207133,0.0012349540162688553,0.8766554571935407,0.38070211157821576,0.0005659736801868923,0.0012349540162688553,False
mp3_64,prosody_mean_voiced_seg_s,prosody,0.17700402625181777,0.17684385174015055,-0.0010943487750235449,-0.7764903423531307,0.4374842052677523,-0.0009049201594959572,0.0010943487750235449,False
mp3_64,prosody_pause_fraction,prosody,0.5620737183618437,0.5618240177115248,-0.0020292406355490685,-3.3996308094168874,0.0006783143768998203,-0.00044424893419083597,0.0020292406355490685,False
mp3_64,prosody_jitter_local,prosody,0.03576666522579706,0.03581101050233179,0.0035409169887034775,1.956355031534631,0.05046070415394774,0.0012398493472841113,0.0035409169887034775,False
mp3_64,prosody_jitter_rap,prosody,0.018277505110502256,0.018296538496377943,0.0027080763278106686,1.3085470371148686,0.19072825158326795,0.0010413557955867084,0.0027080763278106686,False
mp3_64,prosody_jitter_ppq5,prosody,0.019579694189115898,0.019595812041997184,0.0020696935591559894,0.9049437121621908,0.365524518049977,0.0008231922687661617,0.0020696935591559894,False
mp3_64,prosody_jitter_ddp,prosody,0.05483251533150677,0.054889615489133826,0.0027080763278106686,1.3085470371148686,0.19072825158326795,0.0010413557955865817,0.0027080763278106686,False
mp3_64,prosody_shimmer_local,prosody,0.19486144961242366,0.19490374685858172,0.0013306286527989186,0.4460305957940688,0.6555881249057953,0.0002170631812613085,0.0013306286527989186,False
mp3_64,prosody_shimmer_localdb,prosody,1.643431473279747,1.6436394486161265,0.0011285556302998642,0.2943624177156293,0.7684891937908365,0.00012654944228642314,0.0011285556302998642,False
mp3_64,prosody_shimmer_apq3,prosody,0.09307821292111343,0.09312142203905359,0.001801117190451482,0.5544884025470179,0.5792613140950864,0.00046422375961151127,0.001801117190451482,False
mp3_64,prosody_shimmer_apq5,prosody,0.13857012194980922,0.13848093906522885,-0.0020298855006797563,-0.4816642372291716,0.6300587440798301,-0.0006435938954623772,0.0020298855006797563,False
mp3_64,prosody_shimmer_apq11,prosody,0.23078262297939367,0.23019327111505447,-0.004375250852934788,-0.9002643604083547,0.36801265980125003,-0.002553709879585786,0.004375250852934788,False
mp3_64,prosody_shimmer_dda,prosody,0.27923463876334037,0.2793642661171608,0.0018011171904514834,0.5544884025470183,0.5792613140950862,0.00046422375961136203,0.0018011171904514834,False
mp3_64,prosody_hnr_mean,prosody,6.3088501681496485,6.319835684363058,0.004337531408563214,12.680319424767168,1.8092687054279722e-36,0.0017412865927408114,0.004337531408563214,True
mp3_64,prosody_hnr_std,prosody,4.511096428621219,4.5094491222467905,-0.0020449269010350828,-2.5869530124342743,0.009701677320283196,-0.000365167626206499,0.0020449269010350828,False
mp3_64,prosody_hnr_min,prosody,-3.7901435154448224,-3.7681614100928886,0.006885950159472273,2.334499749958617,0.019596036959808324,0.005799808176750242,0.006885950159472273,False
mp3_64,prosody_hnr_max,prosody,17.421706160981806,17.413813535930206,-0.0020608384217035186,-2.2338307830736044,0.02552380905676597,-0.00045303398982106526,0.0020608384217035186,False
mp3_64,prosody_hnr_median,prosody,6.100184117058622,6.1145951476930875,0.005403150554704659,8.912361596558746,6.19882025755767e-19,0.002362392734043292,0.005403150554704659,True
mp3_64,prosody_f1_mean,prosody,514.5652673696262,515.2063493047459,0.008407432257462797,7.6921927220052355,1.6323071600780688e-14,0.001245870982308633,0.008407432257462797,True
mp3_64,prosody_f1_std,prosody,289.879275069404,290.5393190838585,0.0072775886150140134,4.206874099473264,2.6196745220573803e-05,0.0022769617258649585,0.0072775886150140134,True
mp3_64,prosody_f1_median,prosody,438.51400161632597,438.9308700099985,0.005734734310669901,8.611863941970404,8.679599941879164e-18,0.0009506387302024293,0.005734734310669901,True
mp3_64,prosody_f1_bw_median,prosody,298.68624708142386,299.4400308112034,0.00924972083896225,14.671822822143973,4.5652085663389824e-48,0.0025236640024275505,0.00924972083896225,True
mp3_64,prosody_f2_mean,prosody,1789.3034215304676,1790.920765657385,0.014900998651892356,15.78065622177476,3.3002316835521235e-55,0.0009038959560776318,0.014900998651892356,True
mp3_64,prosody_f2_std,prosody,421.5193400304929,421.50865116730256,-0.0001352682313015445,-0.088362929112265,0.9295906025104815,-2.5357942507643344e-05,0.0001352682313015445,False
mp3_64,prosody_f2_median,prosody,1768.826538119031,1770.3683514596196,0.014468506502309039,14.330975693631853,5.713384308315525e-46,0.0008716588695170166,0.014468506502309039,True
mp3_64,prosody_f2_bw_median,prosody,608.4470159680318,609.0001039769097,0.004395467082699621,4.409377464777785,1.0512569210185448e-05,0.0009090158951605096,0.004395467082699621,True
mp3_64,prosody_f3_mean,prosody,2949.414150533745,2950.961482301794,0.016981459168221618,14.72309307323438,2.1876431805329578e-48,0.0005246234299679206,0.016981459168221618,True
mp3_64,prosody_f3_std,prosody,385.0950740762941,384.5581983876674,-0.008083648100870833,-4.025342840335639,5.745695948523713e-05,-0.0013941380317950868,0.008083648100870833,True
